# Monthly homogenized climate series,,
# Source : Royal Meteorological Institute of Belgium,,
# Variable : Monthly precipitation in mm (RR),,
# Series name : HASSELT,,
# Series code : 1066,,
# Format: each row contains the year - the month - RR,,
# File produced on : 2024-09-02 (YYYY-MM-DD),,
#,,
YY,MM,RR
1952,3,63.1
1952,4,4.2
1952,5,32.1
1952,6,33.3
1952,7,70.4
1952,8,147
1952,9,83.2
1952,10,56.6
1952,11,93.1
1952,12,84.7
1953,1,20.1
1953,2,58.9
1953,3,13.4
1953,4,36.2
1953,5,40.7
1953,6,96.5
1953,7,97.8
1953,8,83.7
1953,9,27.6
1953,10,10.9
1953,11,16.7
1953,12,47.1
1954,1,58.3
1954,2,41.7
1954,3,47.7
1954,4,22.3
1954,5,35.6
1954,6,60.6
1954,7,108.8
1954,8,139.1
1954,9,62.5
1954,10,72.5
1954,11,38
1954,12,60.4
1955,1,58.7
1955,2,63.9
1955,3,46.2
1955,4,22.7
1955,5,78.1
1955,6,50.8
1955,7,43.2
1955,8,65.6
1955,9,65.3
1955,10,45.6
1955,11,22.3
1955,12,67.8
1956,1,79.4
1956,2,17.1
1956,3,40.6
1956,4,32.6
1956,5,67.8
1956,6,79.3
1956,7,62.1
1956,8,63.4
1956,9,60.8
1956,10,87.9
1956,11,44.9
1956,12,46.6
1957,1,57.6
1957,2,108.3
1957,3,37.4
1957,4,18.1
1957,5,49.6
1957,6,65.6
1957,7,78.3
1957,8,134.1
1957,9,163.2
1957,10,29.6
1957,11,30.6
1957,12,42.6
1958,1,60.9
1958,2,90.9
1958,3,29.8
1958,4,51.3
1958,5,83.7
1958,6,65.2
1958,7,65.5
1958,8,108
1958,9,67.3
1958,10,61.7
1958,11,42.6
1958,12,62.9
1959,1,77.7
1959,2,5.7
1959,3,59.8
1959,4,35.2
1959,5,16.6
1959,6,42.7
1959,7,61.5
1959,8,29.6
1959,9,6.5
1959,10,40.3
1959,11,24.3
1959,12,56
1960,1,67.3
1960,2,29.2
1960,3,29.7
1960,4,47.9
1960,5,57.1
1960,6,45.9
1960,7,106
1960,8,108.4
1960,9,153.9
1960,10,116.8
1960,11,80.3
1960,12,57.2
1961,1,92
1961,2,76.9
1961,3,30.8
1961,4,112.1
1961,5,61.4
1961,6,86.3
1961,7,60.7
1961,8,61.1
1961,9,47.2
1961,10,101.4
1961,11,82.8
1961,12,67
1962,1,64.3
1962,2,61.2
1962,3,56.2
1962,4,51.2
1962,5,74.1
1962,6,12
1962,7,90.3
1962,8,60.5
1962,9,55.4
1962,10,36.2
1962,11,37.9
1962,12,95.7
1963,1,34.7
1963,2,23.9
1963,3,38.1
1963,4,36.7
1963,5,77.4
1963,6,169.6
1963,7,15.5
1963,8,78.6
1963,9,35.4
1963,10,62.9
1963,11,76
1963,12,19.4
1964,1,33.7
1964,2,33.9
1964,3,35.8
1964,4,43.9
1964,5,52.8
1964,6,85.5
1964,7,32.7
1964,8,44.2
1964,9,84.4
1964,10,97.2
1964,11,88.2
1964,12,75.8
1965,1,76.2
1965,2,24.5
1965,3,51.3
1965,4,94.6
1965,5,94.1
1965,6,55
1965,7,164.2
1965,8,125.3
1965,9,67.7
1965,10,22.2
1965,11,77.3
1965,12,156
1966,1,45.6
1966,2,82.7
1966,3,85.5
1966,4,68.5
1966,5,56.5
1966,6,144.1
1966,7,118.9
1966,8,75.2
1966,9,24.2
1966,10,120
1966,11,117
1966,12,145.7
1967,1,48.1
1967,2,45.6
1967,3,48.2
1967,4,36.3
1967,5,62.7
1967,6,37.7
1967,7,30.9
1967,8,49.5
1967,9,84.1
1967,10,60.1
1967,11,77.9
1967,12,81.6
1968,1,69.4
1968,2,42.7
1968,3,62.9
1968,4,9.7
1968,5,42.1
1968,6,43.6
1968,7,59.8
1968,8,118.5
1968,9,150
1968,10,43.5
1968,11,34.7
1968,12,35.8
1969,1,35.5
1969,2,77.9
1969,3,52.7
1969,4,51
1969,5,67.1
1969,6,67.1
1969,7,66.1
1969,8,131.6
1969,9,26.2
1969,10,6.3
1969,11,82.1
1969,12,33.2
1970,1,51.6
1970,2,104.2
1970,3,99.5
1970,4,80.5
1970,5,38.3
1970,6,36.5
1970,7,84.4
1970,8,34.1
1970,9,62.3
1970,10,69.5
1970,11,70.9
1970,12,31.3
1971,1,51.9
1971,2,35.1
1971,3,41.5
1971,4,27.6
1971,5,90.4
1971,6,110.1
1971,7,35.5
1971,8,59.3
1971,9,7.4
1971,10,30.9
1971,11,82.4
1971,12,15.6
1972,1,44.1
1972,2,27.7
1972,3,35.7
1972,4,36.5
1972,5,101.7
1972,6,90.8
1972,7,113.6
1972,8,47.9
1972,9,73
1972,10,31.3
1972,11,58.3
1972,12,18.7
1973,1,20.4
1973,2,84.7
1973,3,24.7
1973,4,82.8
1973,5,90
1973,6,29.8
1973,7,61
1973,8,45.8
1973,9,65.9
1973,10,62.9
1973,11,64.7
1973,12,77.8
1974,1,67.6
1974,2,48.4
1974,3,65.4
1974,4,12.4
1974,5,22.2
1974,6,123
1974,7,71.5
1974,8,90
1974,9,130.1
1974,10,132.4
1974,11,123.1
1974,12,113.4
1975,1,61.3
1975,2,17.7
1975,3,68.8
1975,4,64.2
1975,5,16.2
1975,6,74.7
1975,7,74.4
1975,8,39.9
1975,9,44.8
1975,10,10.2
1975,11,92.2
1975,12,28.2
1976,1,69.6
1976,2,28.3
1976,3,18.9
1976,4,14
1976,5,35.1
1976,6,23.6
1976,7,78.1
1976,8,20.5
1976,9,56.2
1976,10,35.6
1976,11,118.8
1976,12,42.8
1977,1,48.6
1977,2,91.8
1977,3,50
1977,4,91.8
1977,5,30.1
1977,6,125.1
1977,7,70.9
1977,8,104.5
1977,9,17.3
1977,10,27.2
1977,11,124.5
1977,12,57.8
1978,1,57.2
1978,2,35.8
1978,3,87
1978,4,51.2
1978,5,80.2
1978,6,75.8
1978,7,63.5
1978,8,39.7
1978,9,66
1978,10,23.9
1978,11,31.9
1978,12,123.9
1979,1,56
1979,2,42
1979,3,112.9
1979,4,68.1
1979,5,63.4
1979,6,58.3
1979,7,15.7
1979,8,89.2
1979,9,18.8
1979,10,24.1
1979,11,86.9
1979,12,123.3
1980,1,51.2
1980,2,55.3
1980,3,85.6
1980,4,36
1980,5,28.5
1980,6,97.7
1980,7,170
1980,8,57.2
1980,9,39.6
1980,10,83.6
1980,11,30.4
1980,12,82.2
1981,1,104.4
1981,2,50.7
1981,3,97.2
1981,4,37.8
1981,5,76.6
1981,6,137.1
1981,7,55.2
1981,8,49.4
1981,9,65.2
1981,10,125
1981,11,76.6
1981,12,103.8
1982,1,63.4
1982,2,16.4
1982,3,69.1
1982,4,37.9
1982,5,80.3
1982,6,88.8
1982,7,63.7
1982,8,114.7
1982,9,46.5
1982,10,138.1
1982,11,57.1
1982,12,74.1
1983,1,87.9
1983,2,54.2
1983,3,71.9
1983,4,100.5
1983,5,136.2
1983,6,55.9
1983,7,21.7
1983,8,36.1
1983,9,54.4
1983,10,26.5
1983,11,58.7
1983,12,53.1
1984,1,123.8
1984,2,96.2
1984,3,29.9
1984,4,24.6
1984,5,157.2
1984,6,51.4
1984,7,57.2
1984,8,45.7
1984,9,187.9
1984,10,106.9
1984,11,80.2
1984,12,40.2
1985,1,67.8
1985,2,11
1985,3,58.9
1985,4,98
1985,5,59.1
1985,6,104.1
1985,7,63.5
1985,8,61.5
1985,9,33.5
1985,10,18.2
1985,11,71.9
1985,12,71.6
1986,1,113.1
1986,2,3.6
1986,3,102.8
1986,4,50.2
1986,5,91.1
1986,6,65.3
1986,7,40.8
1986,8,72.1
1986,9,58.2
1986,10,100.5
1986,11,59.5
1986,12,107.4
